id,nombre,rut,edad,sexo,tienda
333,Monserrat Vidal,81018273-3,72,hombre,40
334,Anais Aguirre,10742402-4,54,hombre,37
335,Isaac Andrades,85384785-2,65,hombre,93
336,Karina Araos,30001031-8,29,mujer,45
337,Daniela Beroiza,48246125-5,67,mujer,71
338,Carolina Brevis,48986292-1,41,mujer,69
339,Camila Cabrera,93892863-0,55,hombre,36
340,Valentina Campos,52179815-7,22,hombre,50
341,Annais Caro,19706256-8,55,hombre,94
342,Abraham Carreno,26196183-0,27,mujer,8
343,Jael Cornejo,11271286-0,56,mujer,13
344,Aaron Cornejo,48998776-7,78,mujer,25
345,Matias Ferreira,95521769-1,47,hombre,50
346,Matias Fuentes,55972471-8,32,hombre,14
347,Alexandra Garay,95487734-5,58,hombre,81
348,Yahir Garrido,63814706-8,43,hombre,58
349,Justin Godoy,43597800-2,79,mujer,92
350,Camila Gonzalez,95403427-5,10,mujer,85
351,Natalia Henriquez,56914123-0,76,mujer,38
352,Jorge Hidalgo,95623149-3,87,mujer,64
353,Francisca Huenufil,37126798-0,47,mujer,60
354,Maria Jilberto,92270331-0,17,mujer,39
355,Cristhian Jimenez,46288331-5,94,mujer,70
356,Isidora Jimenez,90505307-8,13,mujer,77
357,Martin Leiva,95810168-6,73,hombre,65
358,Martina Leiva,94006732-4,62,hombre,87
359,Andres Lucero,61336127-8,81,hombre,79
360,Gamadiel Marin,32142510-0,73,hombre,64
361,Saad Sierra,21188032-5,18,mujer,81
362,Teigan Phelps,64660903-8,29,mujer,85
363,Chiara Howell,17677635-8,35,mujer,76
364,Nishat Greig,21332506-k,42,mujer,58
365,Niam Snider,36615636-4,50,hombre,2
366,Tasnim Rutledge,30741496-1,57,hombre,56
367,Henna Cantu,18970874-2,24,mujer,25
368,Amira Wong,33491402-k,28,mujer,7
369,Annaliese Ford,47342099-6,37,hombre,15
370,Marco Waters,73815426-6,21,hombre,11
371,Marian Spence,19528671-k,57,hombre,28
372,Amy Sharples,51844875-7,38,hombre,100
373,Eamonn Redfern,17327495-5,48,hombre,74
374,Katarina Chang,82719046-2,54,hombre,54
375,Annabelle Poole,79873843-7,40,hombre,45
376,Donte Salgado,66227912-9,40,mujer,31
377,Sufyan Rollins,44715611-3,44,hombre,46
378,Gracey Day,71134226-5,18,mujer,2
379,Otto Lindsay,89260929-2,25,hombre,82
380,Murphy Melendez,72620651-1,26,hombre,9
381,Marcel Mccarty,33908685-0,23,hombre,82
382,Lowri Henry,94221380-8,35,mujer,22
383,Juliet Goodman,15823641-9,43,mujer,19
384,Winnie Bloom,39790970-0,38,hombre,68
385,Baxter Bateman,14736236-6,46,mujer,34
386,Huda Sullivan,17195049-k,20,mujer,2
387,Ravi Avila,67710168-7,58,hombre,8
388,Hamza Carson,21201270-k,22,hombre,89
389,Faizaan Gilmour,16833235-1,44,mujer,87
390,Saoirse Tang,32273167-1,54,hombre,53
391,Harvey Marsden,90922919-7,35,mujer,10
392,Ehsan Liu,60028335-9,19,mujer,50
393,Orlaith Collier,52968708-7,60,mujer,5
394,Marcia Berg,57689116-4,27,mujer,23
395,Kamron Moran,10094201-1,39,mujer,19
396,Colin Rosario,85779616-0,24,mujer,63
397,Darrell Barnes,15683276-6,20,hombre,59
398,Akbar Healy,14825989-5,50,hombre,25
399,Valentino Gilliam,65207641-6,26,hombre,40
400,Damien Barnard,34761062-3,40,mujer,59
401,Jenna Wyatt,93600353-2,52,hombre,79
402,Chenai Lynch,61627352-3,33,mujer,41
403,Cleo Parsons,33917878-k,23,hombre,49
404,Meerab Shields,81311438-0,40,hombre,18
405,Asia Byers,16506263-9,54,mujer,95
406,Teejay Leon,48849361-2,45,hombre,62
407,Kelsie Vickers,23684561-3,29,hombre,62
408,Elisabeth Pickett,12842111-4,36,mujer,79
409,Tehya Curry,46524982-k,48,hombre,34
410,Nabila Silva,54556015-1,40,mujer,70
411,Kaira Frey,22240154-2,52,mujer,3
412,Lila Barron,72478850-5,59,mujer,53
413,Xander Goodwin,25107105-5,22,mujer,82
414,Lexi Cairns,69768825-0,45,hombre,9
415,Keyan Rigby,42644643-k,53,hombre,50
416,Donald Gordon,54004386-8,53,mujer,30
417,Kaylen Yoder,55514185-8,34,hombre,72
418,Rehaan Acosta,34762796-8,40,hombre,61
419,Ahsan Moyer,55422937-9,35,hombre,18
420,Simrah Begum,11636170-1,18,mujer,68
421,Rio Haas,45453849-8,30,hombre,86
422,Dannielle Power,84539370-2,59,hombre,75
423,Adam Delarosa,96900689-8,26,hombre,13
424,Yousif Mccullough,44281327-2,34,hombre,35
425,Zakary Ingram,74580276-1,21,mujer,46
426,Jordana Haley,78160098-9,23,mujer,25
427,Kavan Holder,65346159-3,42,mujer,55
428,Kieren Peck,72800848-2,49,hombre,22
429,Fiona Estrada,79757833-9,41,mujer,8
430,Esme-Rose Sargent,79459402-3,41,mujer,48
431,Kathy Leal,80921370-6,35,mujer,6
432,Hassan Gilmore,90172937-9,23,mujer,17
433,Rose Larsen,47942200-1,52,hombre,44
434,Jorge Tillman,42538060-5,22,hombre,25
435,Devonte Needham,70582800-8,56,mujer,56
436,Fahad Richmond,14982281-k,23,mujer,86
437,Kynan Benson,90155266-5,56,hombre,4
438,Maison Rhodes,96951878-3,23,mujer,12
439,Cai Woodward,72159761-k,32,mujer,25
440,Dania Neal,72430402-8,23,hombre,6
441,Irene Contreras,66045545-0,56,hombre,17
442,Briony Whelan,91231636-k,37,hombre,75
443,Vishal Merrill,86516801-2,49,hombre,1
444,Brad Stewart,64750606-2,42,mujer,60
445,Mina Dougherty,90966759-3,26,mujer,85
446,Phebe Braun,31111145-0,55,hombre,45
447,Murray Britton,16792411-5,56,mujer,57
448,Jaxx Blaese,58765828-3,19,hombre,11
449,Una Glenn,42216276-3,40,hombre,30
450,Luke Hills,91844038-0,48,hombre,14
451,Yasser Wilkins,43926456-k,47,hombre,16
452,Emir Bird,13965853-1,40,hombre,70
453,Reema Page,14343597-0,45,hombre,43
454,Nigel Dickens,41966463-4,36,mujer,77
455,Priyanka Navarro,21219682-7,43,hombre,86
456,Dina Clark,95541523-k,23,hombre,11
457,Ali Childs,68208732-3,56,mujer,70
458,Ava-Rose O'Ryan,43831962-k,60,hombre,51
459,Talitha Mcloughlin,22234852-8,60,hombre,46
460,Lily-Anne Patel,39089742-1,36,mujer,28
461,Keane Morrison,92696219-1,28,mujer,43
462,Mayson Baird,69568679-k,48,hombre,15
463,Rhiann Cote,91935122-5,45,hombre,18
464,Lina Mclaughlin,68133700-8,45,mujer,62
465,Ayush Pace,42938886-4,58,mujer,5
466,Zeeshan Johnston,11439340-1,26,hombre,24
467,Dominykas Lutz,39899583-k,55,mujer,73
468,Rafi Kaiser,39949282-3,37,hombre,26
469,Maaria Major,53644614-1,41,mujer,88
470,Blanka Alford,19552470-k,34,mujer,61
